vars,n,mean,sd,min,max,range,se
1,50952,0.7814217302559271,0.8959607434819751,0,5,5,0.003969249178110795
2,50952,1.476291411524572,19.366336800746843,0,1740,1740,0.08579596482167494
3,50952,0.09169414350761503,1.5975757684323366,0,158,158,0.007077515786211838
4,50952,37.10993793177893,5.100323181018735,17.7212,61.02,43.2988,0.022595246210991304
5,50952,-92.7131385087926,8.67825242661614,-163.53,-64.7151,98.8149,0.03844604416251091
6,50952,22.808436797377922,18.550888526770102,0,61.02,61.02,0.0821833987412737
7,50952,-56.433582216596015,45.379524862079336,-163.53,0,163.53,0.20103854222658862
8,50952,3.5363973936253728,8.449160086471233,0,217.8,217.8,0.03743112850973606
9,50952,108.94428089181976,208.62821871067865,0,4400,4400,0.9242563267111937
10,50952,1.0089692259381378,0.09654398368200418,1,3,2,4.2770526573751214e-4
